,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
11,0.414629632,0.376493106,0.370842324,0.377590262,0.406361956,0.461641321,0.373300942,0.491329924,0.34013689,0.357312378,0.553937282,0.480642574,0.509256116,0.378981812,0.366767256,0.549690887,0.344075407,0.53103189,0.41908667,0.356305207,0.455234743,0.526632064,0.529864776,
12,0.43421421,0.376181648,0.374687863,0.382891877,0.410945546,0.465104426,0.378583918,0.477920915,0.340983904,0.381596576,0.555792024,0.499004586,0.525011387,0.40322219,0.384988397,0.616123077,0.3596479,0.568974282,0.42983435,0.375603106,0.498291622,0.550724227,0.555526761,
13,0.444231769,0.373648659,0.37374139,0.380182623,0.410619553,0.454824938,0.374202576,0.459955841,0.33577178,0.393191979,0.529223159,0.48501401,0.525151887,0.423859703,0.391212784,0.654573407,0.379500395,0.599716376,0.412345305,0.388045523,0.528028489,0.551247778,0.537894932,
14,0.43977257,0.370162842,0.36910497,0.371553867,0.405097144,0.436918403,0.366545967,0.438933549,0.329399548,0.393181487,0.500995044,0.45572543,0.512512806,0.423194818,0.390019441,0.618966413,0.381296227,0.584362579,0.382025298,0.383471715,0.52792576,0.533416663,0.501126256,
15,0.426530106,0.366485391,0.364660275,0.359123639,0.396372571,0.420120442,0.357806213,0.416978485,0.322333208,0.376731337,0.460619029,0.423896981,0.469092842,0.403763485,0.378969437,0.572528452,0.371169674,0.544067445,0.359444047,0.366260461,0.491590805,0.490763572,0.459251642,
16,0.410118498,0.363211729,0.35719101,0.347241372,0.386822679,0.405180833,0.348836899,0.397073098,0.31605238,0.343923242,0.418664027,0.388172816,0.428187443,0.373026236,0.361439165,0.520300318,0.359256332,0.498067186,0.336187418,0.349850767,0.443866739,0.454476078,0.38816217,
17,0.3957998,0.359214951,0.348902782,0.33713497,0.378190591,0.390043295,0.338565094,0.380463994,0.31094783,0.318107302,0.386627651,0.359644568,0.390210118,0.339812471,0.34622232,0.475210118,0.34148212,0.452132502,0.319413959,0.332604519,0.394807842,0.419348662,0.369065717,
18,0.382016226,0.351422192,0.342135063,0.328935369,0.371465364,0.374221894,0.32846005,0.365434122,0.307267293,0.302394401,0.365174723,0.337503271,0.364442195,0.317602791,0.328575709,0.45107358,0.322908324,0.417509937,0.312326141,0.319606395,0.356010535,0.387053657,0.335903116,
19,0.368427401,0.341541863,0.337828369,0.322455131,0.366022385,0.359852032,0.319836973,0.351729855,0.304879743,0.296188005,0.346741458,0.315591132,0.34916715,0.307705613,0.309887581,0.431145265,0.312181999,0.394252413,0.302283093,0.308785364,0.331802898,0.363413021,0.326229664,
20,0.355514294,0.332029834,0.333500167,0.317898789,0.361174704,0.348142204,0.312956835,0.339863542,0.303979374,0.298004635,0.334430777,0.300807885,0.340189597,0.312395759,0.299512553,0.407437326,0.303922995,0.379559829,0.295745026,0.300892006,0.313112888,0.344930043,0.307213043,
21,0.344942603,0.324621084,0.328097767,0.315241069,0.357449978,0.339380817,0.308692448,0.33009989,0.304992902,0.301473449,0.331348995,0.295344724,0.339877737,0.318878465,0.295832634,0.385882533,0.299263121,0.372361783,0.289812625,0.29334544,0.302405016,0.330180771,0.293298843,
22,0.337717678,0.31979124,0.322554744,0.314996914,0.354959513,0.333250858,0.307622479,0.322827289,0.308494334,0.304534093,0.327674815,0.298688467,0.342510214,0.32291536,0.29775187,0.362544931,0.297038753,0.365853525,0.280700311,0.285312137,0.298680598,0.325148524,0.288065643,
23,0.334895913,0.317850094,0.318966444,0.317412669,0.354212852,0.33007221,0.310891574,0.318181364,0.315379595,0.306475578,0.32424871,0.309224177,0.34164342,0.327201934,0.295470752,0.34602004,0.295094459,0.358511955,0.282094792,0.274405103,0.296901461,0.32874031,0.293326616,
24,0.337274946,0.319114104,0.317384094,0.323541271,0.355871979,0.330659392,0.319172982,0.316740008,0.326957655,0.308195343,0.326567167,0.316673877,0.341212877,0.323488224,0.29418366,0.345520342,0.299246118,0.359859962,0.288111499,0.277107383,0.299270651,0.340317599,0.300019379,
25,0.345370245,0.32462346,0.318328406,0.335002746,0.360664669,0.336012356,0.332410448,0.318579813,0.344362888,0.310615141,0.323843502,0.321044727,0.335564964,0.311242069,0.293464525,0.350002129,0.309727732,0.35768361,0.299119751,0.28349671,0.285842879,0.345439986,0.305830134,
26,0.35969746,0.334933407,0.321668847,0.353207254,0.369850612,0.346831042,0.350748482,0.323511584,0.367715055,0.316712914,0.32493103,0.326007172,0.330389963,0.299806114,0.298698342,0.351376367,0.328940769,0.355803225,0.31117671,0.283062156,0.300965666,0.338995359,0.312526076,
27,0.380389624,0.350840287,0.326763275,0.378509085,0.385385736,0.362915052,0.37477149,0.33106318,0.396874954,0.324896654,0.329867091,0.329150023,0.331614443,0.297838769,0.307349656,0.353939165,0.358978078,0.360357562,0.314256764,0.289630187,0.295055824,0.331717666,0.309423526,
28,0.407839448,0.372068284,0.333509054,0.41081992,0.406014948,0.384748469,0.404774823,0.341543622,0.429857309,0.338716179,0.334889494,0.338021206,0.34212022,0.304924056,0.315392216,0.36093419,0.398976134,0.367214617,0.31443519,0.293900437,0.297242298,0.328125818,0.309842898,
29,0.442085195,0.398352384,0.343586417,0.450105784,0.431074382,0.415880558,0.440711667,0.356827338,0.466705446,0.365658898,0.345299732,0.358145351,0.35930907,0.31745078,0.327485589,0.368136927,0.449229979,0.389367177,0.315670347,0.311784136,0.321786358,0.33195386,0.326705261,
30,0.483231417,0.429581091,0.358905344,0.495967919,0.461086973,0.459271361,0.475060391,0.378761912,0.507319321,0.398429253,0.368478596,0.393831776,0.38894006,0.336450027,0.357839509,0.383613974,0.50454872,0.437302781,0.319919952,0.338252339,0.372585633,0.358402128,0.363218117,
31,0.524127311,0.467760449,0.378302608,0.550142722,0.495110536,0.498648659,0.492177988,0.40258156,0.547826116,0.429999352,0.411788456,0.44173004,0.439702212,0.363164021,0.403159176,0.404108673,0.553219289,0.499898135,0.32829119,0.37418835,0.453978047,0.415167317,0.403276131,
32,0.557540209,0.504066921,0.396249136,0.60813918,0.531110888,0.509897456,0.497487996,0.415934715,0.577427204,0.465070975,0.465397586,0.503617554,0.507591126,0.402899036,0.449747729,0.416998389,0.597146944,0.565179259,0.350815476,0.417472165,0.537542986,0.485911077,0.438324209,
33,0.57418045,0.521156899,0.405888828,0.647585726,0.557682499,0.49504527,0.497206748,0.41124855,0.587851945,0.500235422,0.521055219,0.550694972,0.573946972,0.453351581,0.45846832,0.436446972,0.641053892,0.592338978,0.395824333,0.457322994,0.612539006,0.547901505,0.472937671,
34,0.567997476,0.512344996,0.402231528,0.656606296,0.561631848,0.466218524,0.491213648,0.392892031,0.5782599,0.54366017,0.552882249,0.56240227,0.622146296,0.490983781,0.432065229,0.462106272,0.67803426,0.581245834,0.451776298,0.484231367,0.6625927,0.587290715,0.508370004,
35,0.538082554,0.492746655,0.386450891,0.640188146,0.537386964,0.437104976,0.471356247,0.373318284,0.552588225,0.573067587,0.542097045,0.544622041,0.628585985,0.487370948,0.390347317,0.470298282,0.695115381,0.550295381,0.504216092,0.484080344,0.673536858,0.566113727,0.451743804,
36,0.49905865,0.462006196,0.367093774,0.606649962,0.501781451,0.409345175,0.4447406,0.356408213,0.518291777,0.560079894,0.504144407,0.486179302,0.607869566,0.457304663,0.350125534,0.438773298,0.677537864,0.51476393,0.550235885,0.452467413,0.656528563,0.512719839,0.397771404,
